timestamp,GLOBAL_POSITION_INT.time_boot_ms,GLOBAL_POSITION_INT.lat,GLOBAL_POSITION_INT.lon,GLOBAL_POSITION_INT.alt,GLOBAL_POSITION_INT.relative_alt,GLOBAL_POSITION_INT.vx,GLOBAL_POSITION_INT.vy,GLOBAL_POSITION_INT.vz,GLOBAL_POSITION_INT.hdg
1437195998.15940404,175639,-352081056,1490435070,1490,1490,-13,-14,-3,31725
1437195998.57373595,175840,-352081026,1490435068,1490,1490,-13,-14,-3,31723
1437195998.99361205,176041,-352081019,1490435066,1480,1480,-13,-14,-3,31722
1437195999.28784800,176443,-352081006,1490435070,1480,1480,-14,-14,-2,31720
1437195999.55593991,176623,-352081002,1490435069,1500,1500,-13,-14,-1,31719
1437195999.82187200,177025,-352080990,1490435067,1500,1500,-13,-13,-1,31717
1437196000.24021196,177226,-352080988,1490435065,1500,1500,-13,-13,-1,31717
1437196000.59127998,177427,-352080989,1490435065,1500,1500,-13,-13,0,31717
1437196000.83454394,177830,-352080988,1490435064,1500,1500,-13,-13,-1,31716
1437196001.17061996,178232,-352080978,1490435054,1500,1500,-12,-13,-1,31714
1437196001.41567183,178433,-352080987,1490435052,1500,1500,-12,-13,0,31711
1437196001.65590000,178835,-352081003,1490435048,1510,1510,-12,-13,0,31709
1437196001.90100002,179237,-352081011,1490435043,1510,1510,-11,-13,0,31707
1437196002.25401187,179438,-352081013,1490435040,1500,1500,-11,-13,0,31703
1437196002.51202798,179840,-352081010,1490435024,1480,1480,-10,-13,0,31702
1437196002.92630005,180242,-352080990,1490435024,1480,1480,-10,-13,-1,31702
1437196003.28248787,180624,-352080996,1490435023,1470,1470,-10,-13,-1,31702
1437196003.59365201,181026,-352080989,1490435011,1460,1460,-10,-12,-1,31700
1437196004.16280389,181428,-352080987,1490435008,1440,1440,-11,-13,-2,31699
1437196004.41506791,181629,-352080986,1490435008,1430,1430,-11,-13,-2,31697
1437196004.79906797,182030,-352080989,1490435005,1410,1410,-11,-13,-2,31697
1437196005.14527988,182432,-352080990,1490435006,1410,1410,-12,-13,-2,31694
1437196005.41932797,182833,-352080979,1490435008,1400,1400,-12,-13,-2,31695
1437196005.66543603,183235,-352080970,1490435007,1380,1380,-12,-13,-2,31693
1437196006.07874393,183436,-352080941,1490435007,1360,1360,-12,-13,-2,31692
1437196006.44473600,183838,-352080929,1490435003,1340,1340,-11,-13,-2,31690
1437196006.75887203,184220,-352080920,1490435004,1320,1320,-12,-14,-3,31688
1437196007.10532784,184622,-352080909,1490435003,1330,1330,-12,-14,-2,31687
1437196007.52625990,185023,-352080909,1490435001,1320,1320,-12,-13,-3,31685
1437196008.00140786,185224,-352080894,1490435003,1310,1310,-12,-14,-3,31685
1437196008.30265999,185625,-352080877,1490435007,1310,1310,-12,-13,-3,31685
1437196008.71570802,186027,-352080875,1490435007,1300,1300,-12,-14,-3,31685
1437196009.22521996,186430,-352080862,1490435008,1290,1290,-12,-13,-2,31683
1437196009.55913591,186831,-352080850,1490435009,1270,1270,-12,-14,-2,31681
1437196009.95926404,187032,-352080838,1490435010,1250,1250,-12,-14,-3,31678
1437196010.38030005,187434,-352080830,1490435021,1250,1250,-12,-14,-2,31678
1437196010.73474002,187836,-352080817,1490435017,1240,1240,-12,-14,-2,31675
1437196010.97659588,188239,-352080800,1490435019,1220,1220,-11,-14,-3,31676
1437196011.24879193,188641,-352080794,1490435026,1240,1240,-11,-15,-3,31676
1437196011.55990386,189022,-352080793,1490435026,1250,1250,-10,-14,-2,31676
1437196011.80900788,189243,-352080795,1490435030,1250,1250,-9,-14,-1,31677
1437196012.24223185,189625,-352080765,1490435032,1250,1250,-10,-14,-1,31677
1437196012.65745187,190027,-352080774,1490435028,1260,1260,-9,-14,0,31675
1437196012.90546393,190429,-352080772,1490435020,1250,1250,-9,-14,0,31674
1437196013.27977204,190630,-352080773,1490435023,1240,1240,-9,-13,0,31674
1437196013.69481182,191031,-352080775,1490435021,1250,1250,-9,-13,0,31672
1437196014.21317601,191433,-352080768,1490435024,1270,1270,-9,-13,1,31673
1437196014.46427202,191634,-352080774,1490435021,1280,1280,-9,-13,1,31673
