timestamp,POWER_STATUS.Vcc,POWER_STATUS.Vservo,POWER_STATUS.flags
1437196207.15520787,5169,5525,3
1437196207.56741190,5177,5525,3
1437196207.91644001,5146,5525,3
1437196208.15352798,5156,5530,3
1437196208.42473197,5169,5530,3
1437196208.91892004,5138,5539,3
1437196209.22209597,5159,5520,3
1437196209.63623190,5162,5527,3
1437196210.00142002,5159,5532,3
1437196210.25546789,5169,5530,3
1437196210.66861200,5170,5520,3
1437196211.08291197,5169,5532,3
1437196211.40631604,5207,5544,3
1437196211.76412797,5143,5532,3
1437196212.16434383,5130,5527,3
1437196212.40139198,5175,5532,3
1437196212.64059591,5143,5525,3
1437196212.91267586,5130,5532,3
1437196213.36047196,5186,5527,3
1437196213.63038802,5149,5522,3
1437196214.01111603,5125,5525,3
1437196214.39625597,5161,5527,3
1437196214.81129599,5143,5522,3
1437196215.22356796,5170,5525,3
1437196215.54771590,5188,5525,3
1437196215.91080785,5144,5527,3
1437196216.22792387,5144,5525,3
1437196216.49527192,5182,5530,3
1437196216.92032385,5143,5525,3
1437196217.22642803,5149,5527,3
1437196217.50146389,5162,5525,3
1437196217.95386791,5159,5527,3
1437196218.28688383,5143,5530,3
1437196218.53707600,5149,5520,3
1437196218.88204384,5182,5527,3
1437196219.12014389,5170,5551,3
1437196219.57044792,5135,5525,3
1437196219.91457200,5172,5530,3
1437196220.15355182,5162,5525,3
1437196220.42793989,5157,5520,3
1437196220.74381185,5188,5527,3
1437196221.12711596,5154,5532,3
1437196221.37413192,5182,5530,3
1437196221.60430384,5149,5532,3
1437196221.95539594,5130,5554,3
1437196222.20460796,5162,5525,3
1437196222.43879199,5162,5522,3
1437196222.71286392,5182,5525,3
1437196223.13696003,5144,5530,3
1437196223.54405594,5198,5532,3
1437196223.85233593,5149,5522,3
1437196224.13234401,5185,5527,3
1437196224.57076383,5130,5539,3
1437196224.85562396,5175,5534,3
1437196225.16869187,5154,5520,3
1437196225.57503200,5144,5527,3
1437196226.02039599,5169,5532,3
1437196226.26528001,5143,5527,3
1437196226.65546393,5146,5522,3
1437196226.99554396,5188,5527,3
1437196227.26085591,5153,5530,3
1437196227.64525986,5172,5525,3
1437196228.00294399,5151,5527,3
1437196228.26619196,5156,5530,3
1437196228.57620788,5136,5527,3
1437196229.13453603,5138,5522,3
1437196229.45563984,5159,5530,3
1437196229.95775604,5177,5525,3
1437196230.33840799,5169,5525,3
1437196230.74725199,5156,5530,3
1437196231.02446795,5144,5527,3
1437196231.34255195,5194,5532,3
1437196231.89971590,5157,5532,3
1437196232.16172791,5143,5534,3
1437196232.51897192,5151,5530,3
1437196232.75197601,5130,5525,3
1437196233.05627990,5169,5525,3
1437196233.44239187,5172,5532,3
1437196233.89355588,5157,5530,3
1437196234.20063591,5156,5527,3
1437196234.44797993,5201,5527,3
1437196235.02918005,5182,5530,3
1437196235.27110386,5156,5522,3
1437196235.54738784,5165,5522,3
1437196235.78636384,5186,5522,3
1437196236.36764002,5143,5530,3
1437196236.69270396,5159,5530,3
1437196236.92270398,5170,5530,3
1437196237.33703184,5143,5534,3
1437196237.62507987,5153,5525,3
1437196238.20038795,5169,5532,3
1437196238.45237994,5172,5527,3
1437196238.87885189,5159,5525,3
1437196239.20091200,5182,5527,3
1437196239.44792390,5159,5527,3
1437196239.89509988,5169,5522,3
1437196240.21819997,5162,5537,3
1437196240.47434783,5143,5525,3
1437196240.88985991,5177,5530,3
1437196241.14861202,5157,5525,3
1437196241.54972005,5175,5527,3
1437196241.85693192,5146,5527,3
1437196242.15999985,5194,5532,3
1437196242.54514003,5149,5530,3
1437196242.95923996,5143,5530,3
1437196243.21969986,5190,5530,3
1437196243.61953592,5157,5527,3
1437196243.94474792,5162,5527,3
1437196244.23784399,5182,5527,3
1437196244.48497987,5165,5525,3
1437196244.72481203,5143,5527,3
1437196245.07808399,5135,5525,3
1437196245.48370385,5172,5527,3
1437196245.71945190,5133,5525,3
1437196246.13299990,5159,5530,3
1437196246.45077586,5188,5525,3
1437196246.69406390,5151,5525,3
1437196247.10923600,5143,5525,3
1437196247.54632783,5199,5527,3
1437196247.79134393,5136,5539,3
